"377","canon","removed non canon slayers"
"378","canon","/* canon issues */"
"379","canon","/* rise in popularity of the canon in d */ minor rewording, clarified stuff, added some links"
"380","canon","'buttetsu' has no basis in canon besides a fake name on an id. see talk page for ""batou"""
"381","canon","/* poirot & agatha christie canon */"
"382","canon","correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]]"
"383","canon","/* objects from the miniseries */ stop removing manganese it's canon"
"384","canon","reformatted n-canon tales list"
"385","canon","there is no canon evidence for this and, based on this contritutor's entries, he or she seems to be highly unreliable"
"386","canon","merge text from orphan article ""accompanied canon""."
"387","canon","redirecting to [[canon fd 200 mm lens]]"
"388","canon","/* official canon (walt disney classics) */"
"389","canon","/* canon */ linked neologism"
"390","canon","/* official canon (walt disney animated classics) */ fixed release dates"
"391","canon","/* ban on membership */ adding citation for canon law ban"
"392","canon","""crash had just defeated cortex and uka uka"" he did this ""crash bash"". ctr is canon, oxide appears in other games. woc does not follow warped, thus ctr is the next game"
"393","canon","/* canon light side ending */"
"394","canon","robot-assisted disambiguation ([[wp:dpl|you can help!]]): canon"
"395","canon","/* appearances */ rm ing most of section- i believe that was non-canon one and all"
"396","canon","/* roddenberry canon and personal canon */ clarified - it's less confusing this way, old way made it sound like tas was conon for roddenberry"
"397","canon","robot-assisted disambiguation ([[wp:dpl|you can help!]]): canon"
"398","canon","/* legendary super saiyan (non-canon) */"
"399","canon","/* era of the seven ecumenical councils */ athanasian canon"
"400","canon","[[wp:undo|undid]] revision 177412105 by [[special:contributions/62.136.107.96|62.136.107.96]] ([[user talk:62.136.107.96|talk]]). excess detail for trivial character in non-canon video."
"401","canon","correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]]"
"402","canon","it is a fact that it's non canon. the plot holes, lack of continuity, not being created by toriyama, and etc., all make it non-canon until toei or toriyama say otherwise."
"403","canon","rv, orthodox too vague, what you are calling the orthodox canon is the greek, on [[peshitta]]: ""one peculiar feature of the peshitta is the absence of 2 peter, 2 john, 3 john, jude and revelation."""
"404","canon","/* official canon (walt disney classics) */"
"405","canon","correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]]"
"406","canon","sorry article is very long as it is. there is no need to say it is canon imho as if it ""leads directly from"" and ""directly into"" (to paraphrase the article) a canon reference is a redundancy. sorry."
"407","canon","/* place in canon */ no italics here."
"408","canon","/* giji super saiyan (non-canon) */"
"409","canon","/* brandenburg concerto no.6 in b flat major, bwv 1051 */ ++ canon (music)"
"410","canon","/* description */ rewrote clunky sentence, remove non-canon mega evolution"
"411","canon","/* giji super saiyan (non-canon) */"
"412","canon","stacy never refered to as ""anastasia"" in any episodes or canon material."
"413","canon","rv to last version by guinnog. rm of non-gta iii canon time periods by haloxxxv, and vandalism by johnlawson85."
"414","canon","/* other realities/non-canon */"
"415","canon","/* history in ''star wars'' canon */"
"416","canon","/* intratext editions of codes of canon law, with referenced concordances */ of -> by"
"417","canon","/* super saiyan 4 (non-canon) */"
"418","canon","#redirect [[canon eos 300d]]"
"419","canon","/* pali canon: buddha was human */"
"420","canon","/* powers and abilities */ the strength range is marvel canon, so i'm including it in the article"
"421","canon","/* graham montague */ montague's first name is non-canon, as implied at the end of the article."
"422","canon","remember the buzzy cartoons from the famous studios canon?"
"423","canon","/* 4th division */ rm part about iemura; not canon"
"424","canon","disambig [[canon]] to [[canon (fiction)]]"
"425","canon","disambiguation, link to [[canon]]"
"426","canon","/* jewish canon */ minor"
"427","canon","/* present day */ correct what it says about canon sensors"
"428","canon","correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]]"
"429","canon","whine about canon elsewhere"
"430","canon","planetary locations named by the gazeteer are non-canon/or in this case, which is why gazeteer is listed separately, see [[talk:list of dune planets]]"
"431","canon","/* new jedi order */ clarification of ""canon"""
"432","canon","/* biblical canon */"
"433","canon","/* canon digital slr cameras */"
"434","canon","/* plot */ be neutral here, not everything written is canon, more so if it was cut"
"435","canon","/* canon law */ this is latin so it is italicized"
"436","canon","/* hardy boys canon books */"
"437","canon","dab [[canon]]"
"438","canon","correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]]"
"439","canon","/* jewish canon */ add 2kings22:8"
"440","canon","#redirect [[canon fd 135 mm lens]]"
"441","canon","/* non-canon */ {{reflist}}"
"442","canon","movie says freeza was killed on namek, and is about the saiyan who fought freeza there. since it's out of canon, that's what we're stuck with"
"443","canon","not confirmed in the canon of the series."
"444","canon","/* jewish canon */ see also [[council of jamnia]]"
"445","canon","/* canon-sue (in original source) */"
"446","canon","/* c. warrington<!-- please do not change the ""c."" to ""cassius."" there is no cassius in canon, and thus it is not his first name. this is a fan-inspired first name. thanks, fbv65edel--> */"
"447","canon","ok, but why are you happy to have m42 in the ""larger"" section when its ffd is only 41.5mm, less than canon eos, fd etc, etc???"
