"1","canon","/* apocryphal and non-canon */"
"2","canon","moved canon in music to canon_(music)"
"3","canon","/* powers and abilities */ rm ohotmu and new avengers files stats. c'mon, we all know that it's against wikipedia policy to use stats unless they're actually mentioned in a canon issue of a comic."
"4","canon","/* north takoma? */ non-canon"
"5","canon","/* dragonball gt (non-canon) */"
"6","canon","move paragraph to appropriate section: biblical canon"
"7","canon","disambig 'canon'"
"8","canon","added category, ""wealthy fictional characters"", based on canon in the pretty sammy series."
"9","canon","wikified ""canon"""
"10","canon","ginny's name being virginia is not canon."
"11","canon","/* the titanic and doctor who */ we don't need every mention esp non canon"
"12","canon","/* official canon (zax animated classics in the spectacular non-disney) */"
"13","canon","moved [[canon law (catholic church)]] to [[canon law (roman catholic church)]]: rv disputed move"
"14","canon","i replaced skeptical language regarding the adoption of the nicene creed and the new testament canon with a neutral statement of the facts."
"15","canon","it's not vandalizing to put the correct info. also, your ""proof"" is just your opinion because there has never been anything to suggest its not canon."
"16","canon","compromise in video game section regarding its canon"
"17","canon","/* canonicity */ what is a greek canon?"
"18","canon","disambiguation, link to [[canon]]"
"19","canon","/* ''where on earth is carmen sandiego?'' canon */"
"20","canon","/* see also */ fixing wikipedia reference for 'canon'; changed to 'canon (company)'."
"21","canon","correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]]"
"22","canon","non-canon"
"23","canon","/* non-canon resurrections */ took out three deletable capations because fair use was added"
"24","canon","clarify canon, get rid of redundant shravakayana =history="
"25","canon","/* official canon (walt disney animated classics) */"
"26","canon","/* official canon (walt disney animated classics) */"
"27","canon","/* jewish-roman wars */ judaea was renamed after the bar kokhba war, council of jamnia canon theory is largely discredited"
"28","canon","/* accepted canon */ the book of mormon is considered today to be more correct than the bible"
"29","canon","moved [[canon ef 24-105mm lens]] to [[canon ef 24-105 mm lens]]: space before unit symbol"
"30","canon","/* non-canon appearances */"
"31","canon","rv. there are some contradictory points here, but i think this is canon"
"32","canon","/* canon */"
"33","canon","the introductory puts too much emphasis on the street fighter canon, which is not revelant in the game itself."
"34","canon","/* non-canon appearances */"
"35","canon","/* official canon (walt disney animated classics) */"
"36","canon","/* history */ gaiden != non-canon. it means supplemental story"
"37","canon","[[category:canon law]]"
"38","canon","/* rise in popularity */ . . . of the canon in d"
"39","canon","/* super saiyan 4 (non-canon) */"
"40","canon","/* digital slr cameras */ moved content from [[canon eos]]"
"41","canon","the ""q"" entity has stated many times that he is omnipotent. it is also accepted star trek canon."
"42","canon","/* official canon (walt disney animated classics) */"
"43","canon","/* giji super saiyan (non-canon) */"
"44","canon","rv, non canon, please read the edit message about the infobox, or visit [[template talk:infobox digimon]]"
"45","canon","rv - although it came packaged with some versions of half-life, it doesn't seem to be considered canon by valve"
"46","canon","/* epistemology-method ''on the canon'' */"
